calltime,street,crossroad1,crossroad2,geox,geoy,nature,FIRST UNIT DISPATCHED,first Dispatch Time,first unit on the way,first unit there,last unit to leave the scene,primeunit,reptaken,closecode,notes,timeclose,Latitude,Longitude
01/01/2013 00:29:10,1699 MOORE PLZ,WILLARD ST, ,2323819,171567.81,ALERT NOTIFICATION SHOTSPOTTER,78,01/01/2013 00:38:30,NULL,NULL,01/01/2013 00:38:30,78,      ,INFO,"SHOTS FIRED AT MOORE PLAZA AT 23:59:27 12/31/2012: 8 ROUNDS; SHOTSPOTTER FLEX ID 7248. (34.2163995224,-77.928927875)  [01/01/13 00:29:15 DHA]  BOLOed WPDW      78 copied  [01/01/13 00:38:28 EOB]  ",01/01/2013 00:38:32,34.21639952,-77.92892788
01/01/2013 00:29:54,1603 S 12TH ST,CARNATION CT,LILAC CT,2322717.5,170794.47,ALERT NOTIFICATION SHOTSPOTTER,78,01/01/2013 00:39:16,NULL,NULL,01/01/2013 00:39:16,78,      ,INFO,"SHOTS FIRED AT 1063 S 12TH ST AT 23:59:23 12/31/2012: 1 ROUND; SHOTSPOTTER FLEX ID 7247. (34.2231541626,-77.9322518017)  [01/01/13 00:29:57 DHA]  BOLOed WPDW      78 copied  [01/01/13 00:39:14 EOB]  ",01/01/2013 00:39:19,34.22315416,-77.9322518
01/01/2013 00:31:00,816 RUSSELL ALY,S 8TH ST,S 9TH ST,2321040.5,175086.27,ALERT NOTIFICATION SHOTSPOTTER,78,01/01/2013 00:33:11,NULL,NULL,01/01/2013 00:39:49,78,      ,INFO,"SHOTS FIRED AT 816 RUSSELL ALLEY AT 00:02:42 01/01/2013: 1 ROUND; SHOTSPOTTER FLEX ID 7264. (34.2264047729,-77.9379917975)  [01/01/13 00:31:03 DHA]  per 78    BOLO out  [01/01/13 00:33:55 EOB]  BOLOed WPDW      78 copied  [01/01/13 00:39:47 EOB]  ",01/01/2013 00:39:50,34.22640477,-77.9379918
01/01/2013 00:47:06,773 MEARES ST,GREENS ALY,S 8TH ST,2321077.5,173631.41,ALERT NOTIFICATION SHOTSPOTTER,325,01/01/2013 00:49:41,01/01/2013 00:49:41,NULL,01/01/2013 00:53:53,325,      ,UTL ,"SHOTS FIRED AT 773 MEARES ST AT 00:45:05 01/01/2013: 7 ROUNDS; SHOTSPOTTER FLEX ID 7311. (34.2222353423,-77.9379121949)  [01/01/13 00:47:09 SEM]  ",01/01/2013 00:53:55,34.22223534,-77.93791219
01/01/2013 00:48:34,628 N 11TH ST,CAMPBELL ST,HANOVER ST,2321691.5,181113.8,ALERT NOTIFICATION SHOTSPOTTER,116,01/01/2013 00:52:45,01/01/2013 00:53:51,01/01/2013 00:55:40,01/01/2013 00:57:33,116,      ,UTL ,"SHOTS FIRED AT 628 N 11TH ST AT 00:47:00 01/01/2013: 2 ROUNDS; SHOTSPOTTER FLEX ID 7313. (34.2428914805,-77.9356615082)  [01/01/13 00:48:37 SEM]  {116} area clear  [01/01/13 00:57:28 EOB]  ",01/01/2013 00:57:39,34.24289148,-77.93566151
01/01/2013 01:30:37,1635 S 4TH ST,WILLARD ST,PRIVATE,2319840,171053.66,ALERT NOTIFICATION SHOTSPOTTER,325,01/01/2013 01:31:36,01/01/2013 01:31:36,01/01/2013 01:33:34,01/01/2013 01:35:11,328,      ,ACOM,"SHOTS FIRED AT 1635 S 4TH ST AT 01:23:20 01/01/2013: 1 ROUND; SHOTSPOTTER FLEX ID 7327. (34.2152765498,-77.9422756403)  [01/01/13 01:30:53 JAB]  {325} 901 S 3RD  [01/01/13 01:31:40 JAB]  SHOTS FIRED IN THE VICINITY OF 1646 S 4TH ST AT 01:24:57 01/01/2013: 1 ROUND; SHOTSPOTTER FLEX ID 7328. (34.2152072676,-77.9423072063)  [01/01/13 01:32:59 JAB]  {328} PYROTECHNICS AT ONE OF THE CORNER HOUSES AT 4TH AND WILLARD  [01/01/13 01:34:14 JAB]  {328} PYROTECHNICS FROM 307 WILLARD  [01/01/13 01:35:07 JAB]  ",01/01/2013 01:35:13,34.21527655,-77.94227564
01/01/2013 01:48:41,1052 S 11TH ST,WRIGHT ST,MEARES ST,2322102.25,173912.17,ALERT NOTIFICATION SHOTSPOTTER,328,01/01/2013 01:52:06,01/01/2013 01:52:06,01/01/2013 01:53:34,01/01/2013 01:59:39,328,      ,UTL ,"SHOTS FIRED AT  STREET AT 01:47:09 01/01/2013: 4 ROUNDS; SHOOTERS MOVING SW AT 8.2 MPH. SHOTSPOTTER FLEX ID 7334. (34.2230819319,-77.9345411177)  [01/01/13 01:51:15 LMS]  came in to shotspotter with no address. got this one by lat/long  [01/01/13 01:51:30 LMS]  {325} IN THE AREA  [01/01/13 01:53:38 JAB]  {328} ALLEYWAY NEXT TO CHURCH ON MEARES, UTL  [01/01/13 01:59:38 JAB]  ",01/01/2013 01:59:41,34.22308193,-77.93454112
01/01/2013 20:44:18,987 S 12TH ST,DAWSON ST,WRIGHT ST,2322711.5,174281.86,ALERT NOTIFICATION SHOTSPOTTER,291,01/01/2013 20:45:00,01/01/2013 20:45:00,01/01/2013 20:49:20,01/01/2013 21:01:45,291,      ,ASST,"SHOTS FIRED AT 987 S 12TH ST AT 20:42:40 01/01/2013: 4 ROUNDS; SHOTSPOTTER FLEX ID 7374. (34.2240907699,-77.9325117866)  [01/01/13 20:44:31 EEB]  ANOTHER CALL REF SAME  CALLER ADVISED SHE HEARD   SHOTS  [01/01/13 20:45:51 LMT]  ABOUT  4 SHOTS  [01/01/13 20:45:55 LMT]  COMING  FROM   12TH/WRIGHTS  [01/01/13 20:46:10 LMT]  CALLER SAID IT WAS  REALLY  CLOSE TO HER HOUSE SHE    HAD HER KIDS  GO IN THE ROOM AND  LAY  ON THE FLOOR  THAT IS HOW CLOSE IT WAS TO HER   ...HER ADDRESSS 1204  WRIGHT ST  [01/01/13 20:46:43 LMT]  910  7953004   DOES NOT     NEED TO  X25 SHE SAID IT WAS   LOUD AND   IT SCARED HER  [01/01/13 20:47:42 LMT]  {291} 10-23, LOOKING FOR CASINGS, NO ONE OUT EHRE  [01/01/13 20:49:33 JAB]  CORRECTION  HERE  [01/01/13 20:49:38 JAB]  {138} 919 S 12TH....ATTTEMPTING CONTACT  [01/01/13 20:55:33 JAB]  {138} 10-38 BOTH UNITS, 10-4    WE MADE CONTACT, FEMALE INSIDE ADVISED SHE IS 10-4, WE ARE TALKING TO THE LADY ON WRIGHT ST  [01/01/13 20:58:55 JAB]  {138} CLEAR UTL  [01/01/13 21:01:43 JAB]  ",01/01/2013 21:01:47,34.22409077,-77.93251179
01/04/2013 02:11:37,1158 CASTLE ST,S 11TH ST,S 12TH ST,2322306,175992.23,ALERT NOTIFICATION SHOTSPOTTER,          ,NULL,NULL,NULL,NULL,      ,      ,DUP ,"SHOTS FIRED AT 1158 CASTLE ST AT 02:07:09 01/04/2013: 1 ROUND; SHOTSPOTTER FLEX ID 7385. (34.2289222328,-77.9337910022)  [01/04/13 02:12:02 LDW]  Linked Events 2013-004046 (171) to 2013-004045 (170)  [01/04/13 02:20:20 JLN]  ",01/04/2013 02:20:26,34.22892223,-77.933791
01/05/2013 00:01:45,987 QUEEN ST,S 9TH ST,S 10TH ST,2321673.75,175558.33,ALERT NOTIFICATION SHOTSPOTTER,140,01/05/2013 00:02:15,01/05/2013 00:02:43,01/05/2013 00:02:15,01/05/2013 00:15:33,140,      ,UTL ,"SHOTS FIRED AT 987 QUEEN ST AT 00:00:05 01/05/2013: 1 ROUND; SHOTSPOTTER FLEX ID 7394. (34.2275227549,-77.9358590762)  [01/05/13 00:01:55 EOB]  {140} NOT SEEING ANYONE ON FOOT WILL GET OUT AND WALK AROUND  [01/05/13 00:03:55 CMM]  map shows hitting at the corner of Queen and S 10th btwn 10th and 9th headed twds 9th  [01/05/13 00:04:05 EOB]  ",01/05/2013 00:15:33,34.22752275,-77.93585908
01/05/2013 00:01:51,987 QUEEN ST,S 9TH ST,S 10TH ST,2321673.75,175558.33,ALERT NOTIFICATION SHOTSPOTTER,          ,NULL,NULL,NULL,NULL,      ,      ,DUP ,"SHOTS FIRED AT 987 QUEEN ST AT 00:00:05 01/05/2013: 1 ROUND; SHOTSPOTTER FLEX ID 7394. (34.2275227549,-77.9358590762)  [01/05/13 00:02:12 JAD]  Duplicate call for (Evt# 2013-005400   ALERT NOTIFICATION SHOTSPOTTER at 987 QUEEN ST)  [01/05/13 00:02:26 JAD]  ",01/05/2013 00:02:26,34.22752275,-77.93585908
01/06/2013 09:12:38,642 SURRY ST,CASTLE ST,QUEEN ST,2317642.75,175335.56,ALERT NOTIFICATION SHOTSPOTTER,330,01/06/2013 09:13:26,01/06/2013 09:13:26,01/06/2013 09:14:00,01/06/2013 09:21:19,308,      ,UTL ,"SHOTS FIRED AT 642 SURRY ST AT 09:10:05 01/06/2013: 1 ROUND; SHOTSPOTTER FLEX ID 7402. (34.2271312697,-77.9491375559)  [01/06/13 09:13:09 AJW]  SHOT SPOTTER ADV IT WILL BE NEXT TO THE PVA THATS AT THE END OF CASTLE ST  [01/06/13 09:15:15 AJW]  CALLER ON LINE FROM 8 CASTLE STREET......HEARD ONE SHOT.......PHILLIP......757-285-6329  [01/06/13 09:15:48 FJP]  {308} checked the area...no one around...utl  [01/06/13 09:21:11 JAR]  ",01/06/2013 09:21:25,34.22713127,-77.94913756
01/06/2013 18:29:29,637 N 10TH ST,CAMPBELL ST,HANOVER ST,2321200.25,181185.28,ALERT NOTIFICATION SHOTSPOTTER,325,01/06/2013 18:30:58,01/06/2013 18:30:58,01/06/2013 18:33:11,01/06/2013 18:46:04,325,      ,ACOM,"SHOTS FIRED AT 637 N 10TH ST AT 18:27:07 01/06/2013: 3 ROUNDS; SHOOTERS MOVING SW AT 15.7 MPH. SHOTSPOTTER FLEX ID 7434. (34.2430688076,-77.9371124925)  [01/06/13 18:29:34 LLH]  SHOWING IN MIDDLE OF STREET  [01/06/13 18:30:16 LLH]  JUST REC ANOTHER CALL REF GUNFIRE 600 BLK N 10TH FROM A CON CIT  [01/06/13 18:31:25 LLH]  SPOTSHOTTER SHOWS ROUNDS FIRED FROM POSS MIDDLE OF ST  [01/06/13 18:32:01 LLH]  IF TURNING LEFT ON N 10TH FROM CAMPBELL, IN FRONT OF 3RD HOUSE ON LEFT  [01/06/13 18:33:28 LLH]  Linked Events 2013-007490 (481) to 2013-007491 (482)  [01/06/13 18:41:05 WJI]  {325} ADDRESS WILL BE 609 N 10TH ST  [01/06/13 18:41:32 WJI]  ",01/06/2013 18:46:04,34.24306881,-77.93711249
01/06/2013 18:29:45,637 N 10TH ST,CAMPBELL ST,HANOVER ST,2321200.25,181185.28,ALERT NOTIFICATION SHOTSPOTTER,          ,NULL,NULL,NULL,NULL,      ,      ,DUP ,"SHOTS FIRED AT 637 N 10TH ST AT 18:27:07 01/06/2013: 3 ROUNDS; SHOOTERS MOVING SW AT 15.7 MPH. SHOTSPOTTER FLEX ID 7434. (34.2430688076,-77.9371124925)  [01/06/13 18:29:55 KDK]  ref EVENT #`s....2013-007490 and 2013-007492...they need to be linked to OCA #2013-000705  [01/06/13 19:15:23 PYG2]  ",01/06/2013 18:32:58,34.24306881,-77.93711249
01/10/2013 19:06:32,75 N LIBERTY CT,S LIBERTY CT,PRIVATE,2323279,174522.94,ALERT NOTIFICATION SHOTSPOTTER,328,01/10/2013 19:10:20,01/10/2013 19:10:37,01/10/2013 19:14:18,01/10/2013 19:27:08,328,      ,UTL ,"SHOTS FIRED AT 75 N LIBERTY CT AT 19:04:58 01/10/2013: 4 ROUNDS; SHOTSPOTTER FLEX ID 7455. (34.2247141785,-77.9306210953)  [01/10/13 19:06:37 SEM]  {328} IN THE AREA  [01/10/13 19:14:21 AGS]  {328} WALKED THE AREA, UTL  [01/10/13 19:27:06 AGS]  ",01/10/2013 19:27:08,34.22471418,-77.9306211
01/11/2013 18:59:47,131 MARSTELLAR ST,S FRONT ST,S 2ND ST,2318485,172881.05,ALERT NOTIFICATION SHOTSPOTTER,234,01/11/2013 19:00:36,01/11/2013 19:01:23,01/11/2013 19:03:01,01/11/2013 19:09:44,234,      ,UTL ,"SHOTS FIRED AT 131 MARSTELLAR ST AT 18:57:48 01/11/2013: 1 ROUND; SHOTSPOTTER FLEX ID 7463. (34.2202452388,-77.9465110781)  [01/11/13 18:59:59 CAH3]  FAR EAST SIDE OIF THE BUILDING ...IN THE PVA ....SHOWING ABOUT 38 FEET NORTH IF LOOKING AT THE PVA  FROM THE STREET  [01/11/13 19:02:07 CAH3]  got out with gavon mcintyre at 2nd and wright  [01/11/13 19:06:37 Unit:210]  ",01/11/2013 19:09:46,34.22024524,-77.94651108
01/11/2013 18:59:57, , , ,0,0,ALERT NOTIFICATION SHOTSPOTTER,          ,NULL,NULL,NULL,NULL,      ,      ,CAN ,,01/11/2013 19:00:11,,
01/14/2013 22:11:59,482 S 13TH ST,NUN ST,CHURCH ST,2322751.25,176636.05,ALERT NOTIFICATION SHOTSPOTTER,138,01/14/2013 22:12:38,01/14/2013 22:12:38,01/14/2013 22:13:24,01/14/2013 22:43:29,138,      ,UTL ,"SHOTS FIRED AT 482 S 13TH ST AT 22:10:30 01/14/2013: 4 ROUNDS; SHOTSPOTTER FLEX ID 7515. (34.2304713057,-77.9328669888)  [01/14/13 22:12:20 WHR]  {138} 13TH/NUN  [01/14/13 22:13:30 WHR]  {325} STEPPING OUT WITH SUBJ AT BACK OF WILLISTON  [01/14/13 22:15:36 WHR]  {325} HES CLEAR  [01/14/13 22:15:55 WHR]  {SABLE2} OVER THE FIELD  [01/14/13 22:19:35 WHR]  {263} SOMEONE GOING NORTH FROM THE SCHOOL  [01/14/13 22:24:49 WHR]  {263} OUT WITH SUBJ ANN/JASMINE ALLEY  [01/14/13 22:24:59 WHR]  {291} WITH HIM  [01/14/13 22:25:01 WHR]  ROBINSON, WILLIAM LEROY   402 N 12TH ST  WILMINGTON, NC  284013783    **PHOTO ON FILE**  Race: B  Sex: M  DOB: 02/14/1960  OLN: 7038967 NC  [01/14/13 22:26:11 Unit:291]  ROBINSON 10-10 NCAWARE  [01/14/13 22:27:54 WHR]  {325} MYSELF AND 240 ARE ON FOOT, DOG ON GROUND  [01/14/13 22:31:27 WHR]  {291} SUBJ RELEASED  [01/14/13 22:32:11 WHR]  ",01/14/2013 22:43:32,34.23047131,-77.93286699
